"","leader","screenName"
"1","acmilan","Locampos15"
"2","acmilan","gerardeulofeu"
"3","acmilan","MarcoVanBasten"
"4","acmilan","Dugout"
"5","acmilan","mattia_desci"
"6","acmilan","RenzoRosso"
"7","acmilan","DIESEL"
"8","acmilan","Sport_Mediaset"
"9","acmilan","PremiumSportHD"
"10","acmilan","josesosaok"
"11","acmilan","gustavogomez462"
"12","acmilan","suso30oficial"
"13","acmilan","VMontella"
"14","acmilan","AP16Official"
"15","acmilan","G_Lapadula"
"16","acmilan","ACMClubMTL"
"17","acmilan","gigiodonna1"
"18","acmilan","FIFAcom"
"19","acmilan","davidecalabria2"
"20","acmilan","carlos7bacca"
"21","acmilan","Bertolacci"
"22","acmilan","giacomobona"
"23","acmilan","MilanClubPhilly"
"24","acmilan","UEFAcom"
"25","acmilan","adidasfootball"
"26","acmilan","adidasITA"
"27","acmilan","emirates"
"28","acmilan","TwitterSports"
"29","acmilan","ACMilanHolland"
"30","acmilan","FBaresi"
"31","acmilan","MilanTV"
"32","acmilan","ignazioabate20"
"33","acmilan","acmilanyouth"
"34","acmilan","ChampionsLeague"
"35","acmilan","SerieA_TIM"
"36","acmilan","OfficialMonto"
"37","acmilan","MilanistiOrId"
"38","acmilan","ACMilanNYC"
"39","acmilan","acmilanJP"
"40","acmilan","SkySport"
"41","acmilan","TheCalcioGuy"
"42","acmilan","DjokerNole"
"43","acmilan","KAKA"
"44","acmilan","gallinari8888"
"45","acmilan","acmilanoficial"
"46","KAKA","LibertyU"
"47","KAKA","CassianeJairinh"
"48","KAKA","UmbertoGandini"
"49","KAKA","OCPres"
"50","KAKA","sinhache"
"51","KAKA","JogosOlimpicos"
"52","KAKA","usainbolt"
"53","KAKA","MichaelPhelps"
"54","KAKA","Olympics"
"55","KAKA","lm19official"
"56","KAKA","KKids_"
"57","KAKA","MiniUs_"
"58","KAKA","Guaje7Villa"
"59","KAKA","StephenCurry30"
"60","KAKA","NHL"
"61","KAKA","G_Higuain"
"62","KAKA","pefabiodemelo"
"63","KAKA","IkerCasillas"
"64","KAKA","NBA"
"65","KAKA","espn"
"66","KAKA","nickvujicic"
"67","KAKA","lang_lang"
"68","KAKA","kobebryant"
"69","KAKA","Lakers"
"70","KAKA","AlexandreWon"
"71","KAKA","NFL"
"72","KAKA","tsilva3"
"73","KAKA","Ronaldo"
"74","KAKA","TimTebow"
"75","KAKA","eespetacular"
"76","KAKA","FirstOrlando"
"77","KAKA","PastorDavidUth"
"78","KAKA","thesoccerdon"
"79","KAKA","officialcafu"
"80","KAKA","TheBlurBarbosa"
"81","KAKA","leo_de_araujo"
"82","KAKA","OrlandoMagic"
"83","KAKA","Juninhope08"
"84","KAKA","AlexandrePato"
"85","KAKA","MrAncelotti"
"86","KAKA","MLS"
"87","KAKA","alexleitao"
"88","KAKA","delpieroale"
"89","KAKA","BrekShea"
"90","KAKA","NikolaVucevic"
"91","KAKA","northlandchurch"
"92","KAKA","GeracaodeValor"
"93","KAKA","OrlandoCitySC"
"94","KAKA","BrOrlandoCity"
"95","KAKA","timkellernyc"
"96","KAKA","adidasbrasil"
"97","KAKA","SpecialOlympics"
"98","KAKA","adidasITA"
"99","KAKA","EuPedroBial"
"100","KAKA","craccocarlo"
"101","KAKA","FinallyMario"
"102","KAKA","vieri_bobo"
"103","KAKA","borriellomarco1"
"104","KAKA","kibeloco"
"105","KAKA","RedeGlobo"
"106","KAKA","SporTV"
"107","KAKA","FIFAcom"
"108","KAKA","Disney"
"109","KAKA","LeleSaddi"
"110","KAKA","tico_Sahyoun"
"111","KAKA","rubimpaiva"
"112","KAKA","FlavioAug"
"113","KAKA","S_Serzedello"
"114","KAKA","Kaka_Team"
"115","KAKA","casadarocha"
"116","KAKA","instagram"
"117","KAKA","adidasfootball"
"118","KAKA","AngelAlessandra"
"119","KAKA","SteveNash"
"120","KAKA","genizahvirtual"
"121","KAKA","iza_goulart"
"122","KAKA","MarceloM12"
"123","KAKA","acmilan"
"124","KAKA","AlvaroMorata"
"125","KAKA","DalaiLama"
"126","KAKA","JohnStott_"
"127","KAKA","DavidLuiz_4"
"128","KAKA","JeffersonBethke"
"129","KAKA","A10imperador"
"130","KAKA","upieraccioni"
"131","KAKA","jeremycamp"
"132","KAKA","Ale_Santana07"
"133","KAKA","KatieS"
"134","KAKA","beckenbauer"
"135","KAKA","DwyaneWade"
"136","KAKA","nandojukabala"
"137","KAKA","DAVIDBRAZIL24"
"138","KAKA","petewilsons"
"139","KAKA","fabiocannavaro"
"140","KAKA","ariovaldo"
"141","KAKA","gvoulaz18"
"142","KAKA","Pele"
"143","KAKA","FeRadaelliRADA"
"144","KAKA","TigerWoods"
"145","KAKA","alo_oficial"
"146","KAKA","MassaFelipe19"
"147","KAKA","heliokohan"
"148","KAKA","Palasthy"
"149","KAKA","BiaeBrancaFeres"
"150","KAKA","RickWarren"
"151","KAKA","DavidLMeyer"
"152","KAKA","JohnPiper"
"153","KAKA","ESPNagora"
"154","KAKA","marcosmaria"
"155","KAKA","LucasMoura7"
"156","KAKA","brunorezende1"
"157","KAKA","acioliyan"
"158","KAKA","fefemotta"
"159","KAKA","jdoriajr"
"160","KAKA","junior_cigano"
"161","KAKA","tarita1993"
"162","KAKA","silvioluiz"
"163","KAKA","jksheva7"
"164","KAKA","fredgol9"
"165","KAKA","ciprinet"
"166","KAKA","SUNDEK2010"
"167","KAKA","Oficial_RC3"
"168","KAKA","BSenna"
"169","KAKA","FM_Sports"
"170","KAKA","thirdday"
"171","KAKA","fbbreal"
"172","KAKA","rattoshow"
"173","KAKA","RoqueJunior04"
"174","KAKA","DiogoesuaGrana"
"175","KAKA","Re__beca"
"176","KAKA","justinbieber"
"177","KAKA","RafaelNadal"
"178","KAKA","mauronaves30"
"179","KAKA","fllavitt"
"180","KAKA","Ap_RinaOficial"
"181","KAKA","dedesecco"
"182","KAKA","NeymarJrSite"
"183","KAKA","GRAACC"
"184","KAKA","MarthaCristel"
"185","KAKA","FioMattheis"
"186","KAKA","Eyshila1"
"187","KAKA","ArnaldoESPN"
"188","KAKA","exame"
"189","KAKA","IamSecond"
"190","KAKA","leomoura2"
"191","KAKA","PatiAbravanel"
"192","KAKA","ribasdiego10"
"193","KAKA","ziconarede"
"194","KAKA","ayrosadesign"
"195","KAKA","verasoniadf"
"196","KAKA","LuciliaDiniz"
"197","KAKA","juayrosa"
"198","KAKA","CarolAyrosa"
"199","KAKA","MikeTyson"
"200","KAKA","EuFernandaSouza"
"201","KAKA","J_Baptista81"
"202","KAKA","Robinho"
"203","KAKA","sgandolphi"
"204","KAKA","reismpr"
"205","KAKA","phganso"
"206","KAKA","juparadela"
"207","KAKA","DaniAlvesD2"
"208","KAKA","macmarcoaurelio"
"209","KAKA","astridfontenell"
"210","KAKA","Lucio_L3"
"211","KAKA","carolsaragosa"
"212","KAKA","mfperez77"
"213","KAKA","ScuderiaFerrari"
"214","KAKA","JosetteSheeran"
"215","KAKA","IsabellaCLeite"
"216","KAKA","LucaCLeite"
"217","KAKA","Pat_Maldonado"
"218","KAKA","shakira"
"219","KAKA","monicabergamo"
"220","KAKA","SergioCabralRJ"
"221","KAKA","rihanna"
"222","KAKA","DjokerNole"
"223","KAKA","RegiLeme"
"224","KAKA","dudumassa19"
"225","KAKA","WilliamCapita"
"226","KAKA","nalbert12"
"227","KAKA","SHAQ"
"228","KAKA","KingJames"
"229","KAKA","jack_welch"
"230","KAKA","MarcosWitt"
"231","KAKA","aliciakeys"
"232","KAKA","GilmarRinaldi"
"233","KAKA","jpdinizoficial"
"234","KAKA","iClaudioJunior"
"235","KAKA","JohnCMaxwell"
"236","KAKA","marcosvidal"
"237","KAKA","r_stimpy"
"238","KAKA","Caiobaribeiro"
"239","KAKA","gatesfoundation"
"240","KAKA","CSLewisDaily"
"241","KAKA","samuelmizrahy"
"242","KAKA","richardbranson"
"243","KAKA","showdavida"
"244","KAKA","RenataBFan"
"245","KAKA","SpiderAnderson"
"246","KAKA","Juniorsantosdf"
"247","KAKA","fabiofaria5555"
"248","KAKA","XabiAlonso"
"249","KAKA","victor_rios"
"250","KAKA","Estadao"
"251","KAKA","viniciusreche12"
"252","KAKA","augustocury"
"253","KAKA","realmadrid"
"254","KAKA","fabianomenotti"
"255","KAKA","vitorbelfort"
"256","KAKA","Joanapradob"
"257","KAKA","radaronline"
"258","KAKA","Folha_Online"
"259","KAKA","wikileaks"
"260","KAKA","pensador"
"261","KAKA","SilasFisio"
"262","KAKA","jose_simao"
"263","KAKA","cassivaladao"
"264","KAKA","elano_blumer"
"265","KAKA","otaviomesquita"
"266","KAKA","brunolaurence"
"267","KAKA","SergioRamos"
"268","KAKA","rdaneseoficial"
"269","KAKA","jorgeresgate"
"270","KAKA","DuduBorgesVip"
"271","KAKA","S2imoneleite"
"272","KAKA","VEJA"
"273","KAKA","JoycePascowitch"
"274","KAKA","ticoelias1"
"275","KAKA","MiriamLeitaoCom"
"276","KAKA","MaxLucado"
"277","KAKA","TiciPinheiro"
"278","KAKA","brunogagliasso"
"279","KAKA","Wanessa"
"280","KAKA","Marcusbuaiz"
"281","KAKA","filipeluis"
"282","KAKA","hamiltonresgate"
"283","KAKA","PauloAoficial"
"284","KAKA","mauriciovolei"
"285","KAKA","manuelauset"
"286","KAKA","MMFlint"
"287","KAKA","anapaulavaladao"
"288","KAKA","edrenekivitz"
"289","KAKA","DODAMIR"
"290","KAKA","celsocelico"
"291","KAKA","LeoCidFerreira"
"292","KAKA","luansantana"
"293","KAKA","CASSIANECANTORA"
"294","KAKA","BlancheBruno"
"295","KAKA","CesarMenotti"
"296","KAKA","alicecavalcanti"
"297","KAKA","goleiromarcio"
"298","KAKA","10Ronaldinho"
"299","KAKA","ANAMARIABRAGA"
